Ghee,Sweet,Butter,Yougurt,,,,,,
Butter,Bread,Cheese,Panner,Yougurt,Coffee Powder,Milk,,,
Bread,Yougurt,Lassi,Sugar,Cheese,Panner,,,,
Sugar,Sweet,Lassi,Panner,Milk,Bread,Ghee,,,
Butter,Ghee,Sugar,,,,,,,
Bread,Sugar,Cheese,Yougurt,Coffee Powder,Milk,Tea Powder,,,
Bread,Lassi,Sugar,,,,,,,
Sugar,Ghee,Sweet,Butter,Tea Powder,Coffee Powder,Yougurt,Bread,,
Panner,Ghee,Cheese,Lassi,Sugar,Sweet,,,,
Butter,Panner,Sugar,Yougurt,Coffee Powder,Lassi,Milk,,,
Panner,Bread,,,,,,,,
Lassi,Bread,Cheese,Sweet,Ghee,,,,,
Bread,Lassi,Milk,Tea Powder,Butter,,,,,
Butter,Yougurt,Ghee,Lassi,Cheese,Panner,Milk,Sugar,,
Ghee,Lassi,Yougurt,Milk,Butter,,,,,
Ghee,Butter,Sugar,,,,,,,
Ghee,Bread,Yougurt,Tea Powder,Coffee Powder,,,,,
Lassi,Butter,Yougurt,Sweet,Cheese,,,,,
Panner,Tea Powder,,,,,,,,
Yougurt,Bread,Milk,Lassi,Ghee,Coffee Powder,Tea Powder,Panner,Sugar,
Butter,Sweet,,,,,,,,
Bread,Lassi,Sweet,Ghee,Yougurt,Sugar,Coffee Powder,,,
Tea Powder,Coffee Powder,Sweet,Sugar,,,,,,
Sugar,Butter,Milk,Sweet,Cheese,Ghee,Panner,,,
Bread,Tea Powder,Coffee Powder,Milk,Lassi,Sweet,Panner,,,
Milk,Sugar,Bread,,,,,,,
Cheese,Sugar,Lassi,Bread,Coffee Powder,Yougurt,,,,
Tea Powder,Butter,Sweet,Sugar,,,,,,
Cheese,Yougurt,Sweet,Tea Powder,,,,,,
Tea Powder,Cheese,Bread,Lassi,Yougurt,,,,,
Yougurt,Sweet,Sugar,Tea Powder,Milk,Coffee Powder,Cheese,,,
Sugar,Coffee Powder,,,,,,,,
Butter,Bread,Coffee Powder,Sweet,Milk,Panner,,,,
Yougurt,Coffee Powder,Sweet,Tea Powder,Lassi,Sugar,,,,
Cheese,Tea Powder,Panner,Bread,Sweet,Butter,Coffee Powder,,,
