Tea Powder,Coffee Powder,Yougurt,Ghee,Butter,,,,,,
Panner,Butter,Cheese,Coffee Powder,Sweet,,,,,,
Panner,Sugar,Coffee Powder,Lassi,,,,,,,
Panner,Ghee,Sugar,,,,,,,,
Sugar,Butter,Yougurt,Ghee,Coffee Powder,Milk,Lassi,Sweet,,,
Ghee,Milk,Cheese,Sweet,Tea Powder,Yougurt,Sugar,Lassi,,,
Bread,Sugar,Lassi,Tea Powder,Coffee Powder,Cheese,Panner,Sweet,,,
Sugar,Lassi,Cheese,Coffee Powder,Ghee,,,,,,
Bread,Sweet,Tea Powder,Yougurt,,,,,,,
Sweet,Coffee Powder,,,,,,,,,
Cheese,Lassi,Bread,,,,,,,,
Ghee,Yougurt,Cheese,Panner,Bread,Tea Powder,,,,,
Bread,Ghee,Coffee Powder,Sweet,Sugar,Panner,Lassi,,,,
Sweet,Butter,Coffee Powder,Cheese,,,,,,,
Milk,Yougurt,Coffee Powder,Sweet,Lassi,Butter,Bread,Tea Powder,,,
Panner,Lassi,,,,,,,,,
Sugar,Cheese,Lassi,Butter,Panner,,,,,,
Coffee Powder,Lassi,Ghee,Sugar,Tea Powder,Milk,Yougurt,Butter,,,
Cheese,Lassi,Coffee Powder,Bread,Panner,Yougurt,,,,,
Cheese,Ghee,Yougurt,Tea Powder,,,,,,,
Butter,Yougurt,Panner,Sugar,Coffee Powder,Bread,Sweet,Tea Powder,,,
Butter,Lassi,,,,,,,,,
Sugar,Bread,Butter,Tea Powder,Panner,,,,,,
Tea Powder,Bread,Milk,Cheese,Sugar,Butter,,,,,
Butter,Yougurt,Cheese,Milk,Ghee,Lassi,,,,,
Ghee,Cheese,Lassi,,,,,,,,
Sweet,Lassi,Bread,Sugar,Yougurt,Butter,Milk,,,,
Ghee,Panner,Bread,Coffee Powder,,,,,,,
Milk,Cheese,Coffee Powder,Sweet,Bread,Lassi,,,,,
Tea Powder,Sweet,Lassi,Coffee Powder,,,,,,,
Tea Powder,Lassi,Yougurt,Sugar,Milk,Cheese,Sweet,Butter,,,
Sweet,Lassi,Tea Powder,Ghee,Butter,Yougurt,Bread,,,,
Milk,Yougurt,Cheese,Lassi,,,,,,,
Bread,Tea Powder,Butter,Ghee,Yougurt,Sugar,Coffee Powder,Panner,,,
Tea Powder,Coffee Powder,Sweet,Bread,Ghee,Panner,,,,,
Tea Powder,Cheese,Coffee Powder,Panner,Sweet,,,,,,
